Country,Product Group,"Average Tariff Rate, Final Bound","Duty Free %, Final Bound","Maximum Tariff Rate, Final Bound","Average Tariff Rate, MFN","Duty Free %, MFN","Maximum Tariff Rate, MFN",Import Share %,Duty-Free Import Share %
Antigua and Barbuda                     ,Petroleum,102.7,0,120,4.5,37.2,25,0.6,0.8
Antigua and Barbuda                     ,Chemicals,50.5,0,190,6.3,6.3,20,11.0,5.1
Antigua and Barbuda                     ,"Wood, paper, furniture",52.3,0,153,9.5,14.1,50,10.4,3.1
Antigua and Barbuda                     ,Textiles,50,0,83,7.1,2.1,20,1.7,0.9
Antigua and Barbuda                     ,Clothing,50.2,0,93,19.8,0,20,1.4,0
Antigua and Barbuda                     ,"Rubber, leather and footwear",51.5,0,100,9.1,15.8,25,1.5,1.6
Antigua and Barbuda                     ,"Mechanical, office and computing machinery",50.6,0,100,5.6,5.8,30,11.5,2.0
Antigua and Barbuda                     ,Electrical machinery and electronic equipment,54.5,0,163,11.2,1.0,35,7.3,0.1
Antigua and Barbuda                     ,Transport equipment,58.7,0,143,9.5,8.6,35,6.8,3.8
Antigua and Barbuda                     ,Other Manufactures,53.6,0,206,13.8,3.9,70,4.5,1.3
Albania                                 ,Live animals and meat,9.3,0.1,20,7.9,4.3,15,1.5,6.9
Albania                                 ,Dairy products,10,0,20,9.5,2.0,15,0.7,0.0
Albania                                 ,Fruits and vegetables,11.9,0,20,10.6,0,15,1.7,0
Albania                                 ,"Coffee, tea, cocoa and spices",16.7,0,20,10.9,3.7,15,0.9,19.5
Albania                                 ,Cereals and food preparations,8.4,1.3,20,6.6,5.3,15,3.5,28.3
Albania                                 ,"Oilseeds, fats and oils",3.1,66.2,10,3,64.4,10,0.9,91.1
Albania                                 ,Sugars and confectionery,7.2,0,10,5.4,5.9,10,0.6,0.1
Albania                                 ,Beverages and tobacco,13.8,25.5,20,9.6,26.0,15,3.1,24.3
Albania                                 ,"Cotton, silk and wool",5,0,5,2,0,2,0.0,0
Albania                                 ,Other agricultural products,7.9,11.6,20,6,14.3,15,1.2,21.9
Albania                                 ,Fish and fish products,0,99.7,10,0,99.8,10,1.6,100.0
Albania                                 ,Minerals and metals,6.5,43.3,20,4.8,43.9,15,18.5,64.1
Albania                                 ,Petroleum,8.8,0,10,5.7,38.4,10,7.7,95.8
Albania                                 ,Chemicals,3.7,33.6,10,1.3,56.7,6,11.5,45.0
Albania                                 ,"Wood, paper, furniture",0.8,92.9,20,0.6,93.4,15,4.4,98.2
Albania                                 ,Textiles,9.1,0.1,20,4.4,43.3,15,5.2,56.5
Albania                                 ,Clothing,17.5,0,18,0,100.0,0,4.0,100.0
Albania                                 ,"Rubber, leather and footwear",13.6,3.5,20,8.3,29.5,15,4.1,64.8
Albania                                 ,"Mechanical, office and computing machinery",3.4,34.0,10,0.2,93.2,10,5.8,82.8
Albania                                 ,Electrical machinery and electronic equipment,4.3,45.1,10,2.7,62.4,10,7.4,56.4
Albania                                 ,Transport equipment,8.3,12.5,20,2.3,49.1,15,6.5,78.5
Albania                                 ,Other Manufactures,10.2,35.4,20,7.3,37.4,15,9.1,89.0
Armenia                                 ,Live animals and meat,15,0,15,11.6,14.8,80,1.4,2.8
Armenia                                 ,Dairy products,15,0,15,13.3,0,15,1.3,0
Armenia                                 ,Fruits and vegetables,15,0,15,8.5,5.4,15,2.2,12.1
Armenia                                 ,"Coffee, tea, cocoa and spices",14.6,0,15,4.8,13.0,15,1.6,34.8
Armenia                                 ,Cereals and food preparations,15,0,15,8.9,1.9,30,3.2,8.9
Armenia                                 ,"Oilseeds, fats and oils",14.1,5.9,15,7.5,15.4,15,1.4,4.4
Armenia                                 ,Sugars and confectionery,14.4,0,15,8.1,0,15,0.7,0
Armenia                                 ,Beverages and tobacco,14.7,2.0,15,10.7,4.0,20,1.8,1.7
Armenia                                 ,"Cotton, silk and wool",15,0,15,4.4,20.0,10,0.0,99.1
Armenia                                 ,Other agricultural products,14.1,4.2,15,5.3,12.0,15,1.8,12.9
Armenia                                 ,Fish and fish products,15,0,15,6.6,1.3,15,0.5,27.3
Armenia                                 ,Minerals and metals,7.4,44.1,15,7.3,9.1,20,23.8,35.6
Armenia                                 ,Petroleum,5,0,5,4.4,12.7,5,6.8,0
Armenia                                 ,Chemicals,0.3,96.7,15,4.6,10.5,10,9.5,3.9
Armenia                                 ,"Wood, paper, furniture",3.9,72.7,15,8,5.1,15,3.3,1.1
Armenia                                 ,Textiles,9.2,4.5,15,7.5,1.3,18,2.4,0.2
Armenia                                 ,Clothing,15,0,15,8,0,18,2.3,0
Armenia                                 ,"Rubber, leather and footwear",13.8,7.6,15,5.4,11.8,15,2.1,5.4
Armenia                                 ,"Mechanical, office and computing machinery",9.2,31.0,15,2.4,69.1,15,9.1,65.1
Armenia                                 ,Electrical machinery and electronic equipment,10.4,30.1,15,4.7,43.8,18,10.9,60.6
Armenia                                 ,Transport equipment,9.2,12.9,15,8.7,15.2,20,9.9,0.9
Armenia                                 ,Other Manufactures,10.5,30.0,15,7.2,22.6,20,3.9,33.0
Angola                                  ,Live animals and meat,53.4,0,55,13.9,33.0,40,3.8,62.8
Angola                                  ,Dairy products,55,0,55,21.7,20.0,50,0.8,58.5
Angola                                  ,Fruits and vegetables,49.8,0,55,41.1,3.7,50,0.5,8.6
Angola                                  ,"Coffee, tea, cocoa and spices",55,0,55,14.3,27.8,50,0.2,1.9
Angola                                  ,Cereals and food preparations,52.9,0,55,18.9,41.7,50,6.8,82.2
Angola                                  ,"Oilseeds, fats and oils",47.9,0,60,4.6,38.2,30,3.6,89.2
Angola                                  ,Sugars and confectionery,55,0,55,12.4,23.5,50,1.0,1.1
Angola                                  ,Beverages and tobacco,55,0,55,57.2,3.0,70,0.8,0.4
Angola                                  ,"Cotton, silk and wool",55,0,55,0,100.0,0,0.0,100.0
Angola                                  ,Other agricultural products,55.1,0,60,7.7,51.0,50,0.4,61.3
Angola                                  ,Fish and fish products,60,0,60,25.1,0.4,30,0.3,0.1
Angola                                  ,Minerals and metals,60.4,0,80,13.4,37.8,50,8.1,37.2
Angola                                  ,Petroleum,63.3,0,80,4,33.3,10,22.2,0.0
Angola                                  ,Chemicals,60,0,60,4.6,79.7,50,12.1,76.5
Angola                                  ,"Wood, paper, furniture",60,0,60,23,24.7,50,3.6,55.9
Angola                                  ,Textiles,60.4,0,80,6.1,32.1,50,2.0,24.2
Angola                                  ,Clothing,60,0,60,10.9,0,20,0.6,0
Angola                                  ,"Rubber, leather and footwear",60,0,60,9.2,28.4,50,1.8,36.5
Angola                                  ,"Mechanical, office and computing machinery",60,0,60,1.2,90.2,50,12.9,86.1
Angola                                  ,Electrical machinery and electronic equipment,60,0,60,6.7,38.7,50,5.8,32.2
Angola                                  ,Transport equipment,60,0,60,5.3,53.6,50,9.1,38.2
Angola                                  ,Other Manufactures,60,0,80,9.1,28.8,50,3.5,61.2
Argentina                               ,Live animals and meat,26.4,0,35,8.3,6.6,16,0.2,13.5
Argentina                               ,Dairy products,33.1,0,35,17.7,0,28,0.1,0
Argentina                               ,Fruits and vegetables,34.2,0,35,10.5,5.0,35,0.8,0.6
Argentina                               ,"Coffee, tea, cocoa and spices",34.6,0,35,11.9,0,35,0.6,0
Argentina                               ,Cereals and food preparations,33.2,0,35,11.1,14.7,31,0.4,12.7
Argentina                               ,"Oilseeds, fats and oils",34.5,0,35,9.2,13.2,35,3.0,0.5
Argentina                               ,Sugars and confectionery,33.3,0,35,17.6,0,20,0.1,0
Argentina                               ,Beverages and tobacco,34.7,0,35,18.1,0,35,0.2,0.9
Argentina                               ,"Cotton, silk and wool",35,0,35,6.5,0,8,0.0,0
Argentina                               ,Other agricultural products,30.9,0.7,35,7.1,11.5,20,0.7,13.8
Argentina                               ,Fish and fish products,34.5,0,35,10.3,3.3,16,0.3,0.1
Argentina                               ,Minerals and metals,34.4,0,35,10.2,6.5,35,15.3,45.8
Argentina                               ,Petroleum,33.6,0,35,0.1,97.2,6,8.4,98.7
Argentina                               ,Chemicals,21.2,0,35,7.7,2.6,35,22.9,13.2
Argentina                               ,"Wood, paper, furniture",30.3,0,35,10.6,2.8,35,2.2,3.9
Argentina                               ,Textiles,35,0,35,23.3,0.1,35,2.2,0.9
Argentina                               ,Clothing,35,0,35,35,0,35,0.4,0.5
Argentina                               ,"Rubber, leather and footwear",35,0,35,16.1,2.9,35,2.6,7.9
Argentina                               ,"Mechanical, office and computing machinery",34.9,0,35,12.5,14.8,35,14.3,24.0
Argentina                               ,Electrical machinery and electronic equipment,34.9,0,35,14.4,15.4,35,10.8,16.1
Argentina                               ,Transport equipment,34.5,0,35,18.6,13.3,35,10.1,3.3
Argentina                               ,Other Manufactures,33.3,0,35,15.7,9.0,35,4.4,38.7
Australia                               ,Live animals and meat,1.4,64.2,16,0.4,92.7,5,0.3,86.5
Australia                               ,Dairy products,3.5,24.0,18,2.7,74.0,18,0.4,53.7
Australia                               ,Fruits and vegetables,3.9,21.4,29,1.7,65.4,5,0.7,42.7
Australia                               ,"Coffee, tea, cocoa and spices",1.7,75.9,17,0.5,90.7,5,0.6,75.3
Australia                               ,Cereals and food preparations,2.7,24.7,17,1.3,73.1,5,1.5,27.2
Australia                               ,"Oilseeds, fats and oils",3,23.5,14,1.4,71.9,5,0.3,61.1
Australia                               ,Sugars and confectionery,6.1,0,15,1.8,61.8,5,0.1,10.1
Australia                               ,Beverages and tobacco,10.2,3.7,25,3.5,30.3,5,1.0,27.1
Australia                               ,"Cotton, silk and wool",1,16.0,2,0,100.0,0,0.0,100.0
Australia                               ,Other agricultural products,2.2,34.9,20,0.5,90.5,5,0.8,91.0
Australia                               ,Fish and fish products,0.4,74.1,10,0,99.6,5,0.6,86.0
Australia                               ,Minerals and metals,6.6,22.5,45,2.8,43.8,5,9.8,37.8
Australia                               ,Petroleum,0,100.0,0,0,100.0,0,15.8,100.0
Australia                               ,Chemicals,9,9.2,55,1.7,66.8,5,13.5,62.0
Australia                               ,"Wood, paper, furniture",6.5,28.0,22,3.2,35.9,5,3.4,13.3
Australia                               ,Textiles,18.4,13.7,55,4.2,16.5,5,1.9,10.6
Australia                               ,Clothing,41.4,6.7,55,4.6,8.4,5,2.9,2.0
Australia                               ,"Rubber, leather and footwear",15.3,9.9,55,4.2,16.8,5,2.4,2.2
Australia                               ,"Mechanical, office and computing machinery",7.6,22.1,50,2.6,48.0,5,13.3,44.5
Australia                               ,Electrical machinery and electronic equipment,9.6,38.6,48,2.3,53.8,5,10.9,63.9
Australia                               ,Transport equipment,12.3,11.8,40,3.3,34.1,5,13.8,11.5
Australia                               ,Other Manufactures,6,39.5,55,1.5,69.4,5,6.0,65.6
Azerbaijan                              ,Live animals and meat,,,,14.6,11.7,74,1.3,24.5
Azerbaijan                              ,Dairy products,,,,12.6,0,15,1.3,0
Azerbaijan                              ,Fruits and vegetables,,,,14.3,2.8,15,2.1,1.0
Azerbaijan                              ,"Coffee, tea, cocoa and spices",,,,14.8,0,15,1.4,0
Azerbaijan                              ,Cereals and food preparations,,,,11.4,19.4,15,5.9,59.5
Azerbaijan                              ,"Oilseeds, fats and oils",,,,7.9,38.4,15,2.5,64.5
Azerbaijan                              ,Sugars and confectionery,,,,13.5,5.9,15,1.6,65.2
Azerbaijan                              ,Beverages and tobacco,,,,24.7,0.4,122,1.3,0.0
Azerbaijan                              ,"Cotton, silk and wool",,,,9.2,12.0,15,0.0,0
Azerbaijan                              ,Other agricultural products,,,,9.6,18.6,15,1.2,49.8
Azerbaijan                              ,Fish and fish products,,,,7.2,19.5,15,0.4,21.9
Azerbaijan                              ,Minerals and metals,,,,7.8,29.1,15,12.9,18.8
Azerbaijan                              ,Petroleum,,,,11,26.6,15,8.1,45.4
Azerbaijan                              ,Chemicals,,,,3.3,71.9,24,14.2,60.0
Azerbaijan                              ,"Wood, paper, furniture",,,,10.3,12.1,15,5.5,0.8
Azerbaijan                              ,Textiles,,,,12.3,8.7,258,1.8,8.9
Azerbaijan                              ,Clothing,,,,15,0,15,2.0,0
Azerbaijan                              ,"Rubber, leather and footwear",,,,12.1,16.6,33,1.9,4.1
Azerbaijan                              ,"Mechanical, office and computing machinery",,,,2.2,72.7,15,11.5,50.3
Azerbaijan                              ,Electrical machinery and electronic equipment,,,,8.9,21.7,15,8.2,11.2
Azerbaijan                              ,Transport equipment,,,,3.8,56.9,15,11.6,36.8
Azerbaijan                              ,Other Manufactures,,,,9.3,29.8,17,3.4,41.6
Bosnia and Herzegovina                  ,Live animals and meat,,,,21.3,18.9,106,2.1,1.2
Bosnia and Herzegovina                  ,Dairy products,,,,14.9,1.6,47,0.9,0.4
Bosnia and Herzegovina                  ,Fruits and vegetables,,,,6.4,23.2,36,1.6,3.7
Bosnia and Herzegovina                  ,"Coffee, tea, cocoa and spices",,,,2.9,71.3,26,1.4,4.0
Bosnia and Herzegovina                  ,Cereals and food preparations,,,,8.1,25.6,44,3.6,4.7
Bosnia and Herzegovina                  ,"Oilseeds, fats and oils",,,,3.8,52.7,106,1.3,41.9
Bosnia and Herzegovina                  ,Sugars and confectionery,,,,7.6,26.1,26,0.8,2.2
Bosnia and Herzegovina                  ,Beverages and tobacco,,,,21.6,1.0,40,2.1,0.1
Bosnia and Herzegovina                  ,"Cotton, silk and wool",,,,0,100.0,0,0.0,100.0
Bosnia and Herzegovina                  ,Other agricultural products,,,,4.5,62.4,633,1.3,76.8
Bosnia and Herzegovina                  ,Fish and fish products,,,,2.9,54.8,27,0.4,33.1
Bosnia and Herzegovina                  ,Minerals and metals,,,,4.9,37.0,32,23.8,28.9
Bosnia and Herzegovina                  ,Petroleum,,,,2.6,73.6,10,10.2,95.7
Bosnia and Herzegovina                  ,Chemicals,,,,3.1,52.6,23,13.4,34.8
Bosnia and Herzegovina                  ,"Wood, paper, furniture",,,,5.2,30.0,15,5.0,24.5
Bosnia and Herzegovina                  ,Textiles,,,,8.9,4.4,15,3.3,5.9
Bosnia and Herzegovina                  ,Clothing,,,,15,0,15,2.6,0
Bosnia and Herzegovina                  ,"Rubber, leather and footwear",,,,7.5,22.3,15,3.5,4.8
Bosnia and Herzegovina                  ,"Mechanical, office and computing machinery",,,,5.5,18.6,15,6.7,20.9
Bosnia and Herzegovina                  ,Electrical machinery and electronic equipment,,,,6.1,27.7,15,6.5,15.4
Bosnia and Herzegovina                  ,Transport equipment,,,,6.1,25.2,15,5.5,9.4
Bosnia and Herzegovina                  ,Other Manufactures,,,,6.3,26.3,15,4.1,51.4
Barbados                                ,Live animals and meat,132.2,0,184,59.2,18.1,184,2.6,43.5
Barbados                                ,Dairy products,114.8,0,141,52.1,14.0,141,1.6,14.1
Barbados                                ,Fruits and vegetables,106.9,0,223,37,3.2,216,3.3,27.7
Barbados                                ,"Coffee, tea, cocoa and spices",100,0,100,20.9,0,40,0.6,0
Barbados                                ,Cereals and food preparations,100,0,103,12.6,21.9,100,5.1,22.2
Barbados                                ,"Oilseeds, fats and oils",139,0,158,25.8,10.3,158,1.7,0.1
Barbados                                ,Sugars and confectionery,106.5,0,122,24.6,0,141,0.8,0
Barbados                                ,Beverages and tobacco,102.3,0,141,31.4,0,141,3.0,0
Barbados                                ,"Cotton, silk and wool",100,0,100,5,0,5,0.0,0
Barbados                                ,Other agricultural products,102.1,0,158,10,28.7,135,1.3,45.8
Barbados                                ,Fish and fish products,100,0,100,35.8,8.8,145,1.7,6.4
Barbados                                ,Minerals and metals,72.8,0,158,8.8,3.1,60,9.4,11.0
Barbados                                ,Petroleum,143.3,0,158,21,0.9,110,25.1,28.7
Barbados                                ,Chemicals,70.4,0,122,6.4,6.6,60,11.8,8.6
Barbados                                ,"Wood, paper, furniture",70,0,70,12.2,4.5,60,6.1,3.9
Barbados                                ,Textiles,70,0,70,7.3,0.2,60,1.3,0.4
Barbados                                ,Clothing,70.2,0,117,35.5,0,117,0.7,0
Barbados                                ,"Rubber, leather and footwear",72.9,0,127,10.2,1.9,60,1.3,5.7
Barbados                                ,"Mechanical, office and computing machinery",72.6,0,152,5.3,6.5,30,7.1,3.1
Barbados                                ,Electrical machinery and electronic equipment,77.6,0,152,11.1,1.0,60,7.4,0.0
Barbados                                ,Transport equipment,103.8,0,247,10.6,8.9,45,4.8,3.0
Barbados                                ,Other Manufactures,78.3,0,162,15.6,4.3,70,3.4,11.4
Bangladesh                              ,Live animals and meat,193.7,0,200,20,7.7,25,,
Bangladesh                              ,Dairy products,160.1,0,200,22,0,25,,
Bangladesh                              ,Fruits and vegetables,190,0,200,23,2.4,25,,
Bangladesh                              ,"Coffee, tea, cocoa and spices",184.4,0,200,22.6,0,25,,
Bangladesh                              ,Cereals and food preparations,183.6,0,200,14.9,15.4,25,,
Bangladesh                              ,"Oilseeds, fats and oils",172.4,0,200,12.1,21.7,25,,
Bangladesh                              ,Sugars and confectionery,172.9,0,200,18.1,0,25,,
Bangladesh                              ,Beverages and tobacco,200,0,200,25,0,25,,
Bangladesh                              ,"Cotton, silk and wool",163,0,200,8,8.0,25,,
Bangladesh                              ,Other agricultural products,189.6,0,200,9.9,16.3,25,,
Bangladesh                              ,Fish and fish products,53.2,0,200,23.7,4.4,25,,
Bangladesh                              ,Minerals and metals,34.5,0,50,13.3,2.8,25,,
Bangladesh                              ,Petroleum,-,-,-,16,0,25,,
Bangladesh                              ,Chemicals,44.5,2.0,200,9.6,8.2,25,,
Bangladesh                              ,"Wood, paper, furniture",32.2,0,50,15.4,7.3,25,,
Bangladesh                              ,Textiles,37.5,0,50,19.5,0.1,25,,
Bangladesh                              ,Clothing,-,-,-,24.4,0,25,,
Bangladesh                              ,"Rubber, leather and footwear",3,0,3,14.5,0.6,25,,
Bangladesh                              ,"Mechanical, office and computing machinery",44.1,0,50,3.2,0.8,25,,
Bangladesh                              ,Electrical machinery and electronic equipment,45.3,0,50,14.6,1.1,25,,
Bangladesh                              ,Transport equipment,20.1,0,50,13.5,6.8,25,,
Bangladesh                              ,Other Manufactures,24.4,0,50,13.1,3.1,25,,
Burkina Faso                            ,Live animals and meat,100,0,100,24.6,0,35,0.0,0
Burkina Faso                            ,Dairy products,66.5,0,100,16.1,0,35,0.6,0
Burkina Faso                            ,Fruits and vegetables,100,0,100,19.8,0,35,0.4,0
Burkina Faso                            ,"Coffee, tea, cocoa and spices",100,0,100,19.2,0,35,0.4,0
Burkina Faso                            ,Cereals and food preparations,98.1,0,100,12.1,0,35,6.6,0
Burkina Faso                            ,"Oilseeds, fats and oils",95.7,0,100,12.3,0,35,0.5,0
Burkina Faso                            ,Sugars and confectionery,100,0,100,12.6,0,35,0.6,0
Burkina Faso                            ,Beverages and tobacco,93.8,0,100,17.5,0,35,1.6,0
Burkina Faso                            ,"Cotton, silk and wool",100,0,100,5,0,5,0.0,0
Burkina Faso                            ,Other agricultural products,100,0,100,8.6,0,35,0.3,0
Burkina Faso                            ,Fish and fish products,11.4,41.4,100,16,0,20,0.4,0
Burkina Faso                            ,Minerals and metals,5.9,11.5,16,11.9,0.2,20,15.4,14.9
Burkina Faso                            ,Petroleum,7.5,0,10,7.7,19.0,10,31.8,0
Burkina Faso                            ,Chemicals,37.6,0,100,7,6.5,35,14.2,45.4
Burkina Faso                            ,"Wood, paper, furniture",84.9,0,100,12,3.8,20,2.1,5.6
Burkina Faso                            ,Textiles,18.4,0,20,16.2,0.2,35,1.5,46.7
Burkina Faso                            ,Clothing,15,0,15,20,0,20,0.2,0
Burkina Faso                            ,"Rubber, leather and footwear",16.4,0,25,12.3,1.3,20,1.7,4.6
Burkina Faso                            ,"Mechanical, office and computing machinery",5.3,4.5,25,6.2,0,20,6.6,0
Burkina Faso                            ,Electrical machinery and electronic equipment,6.8,0,15,12,0.6,20,5.6,10.4
Burkina Faso                            ,Transport equipment,13.3,0.8,25,8.4,1.8,20,5.4,0.0
Burkina Faso                            ,Other Manufactures,7.7,0,15,14.3,2.1,20,4.0,0.4
"Bahrain, Kingdom of                     ",Live animals and meat,35,0,35,3.1,36.8,5,2.3,26.8
"Bahrain, Kingdom of                     ",Dairy products,35,0,35,5,0,5,2.5,0
"Bahrain, Kingdom of                     ",Fruits and vegetables,35,0,35,2.9,41.4,5,2.5,62.3
"Bahrain, Kingdom of                     ","Coffee, tea, cocoa and spices",35,0,35,3.8,22.2,5,0.7,19.8
"Bahrain, Kingdom of                     ",Cereals and food preparations,35,0,35,3.6,38.5,100,2.8,38.4
"Bahrain, Kingdom of                     ","Oilseeds, fats and oils",35,0,35,4.9,2.7,5,0.7,0.1
"Bahrain, Kingdom of                     ",Sugars and confectionery,35,0,35,3.5,30.1,5,0.4,65.5
"Bahrain, Kingdom of                     ",Beverages and tobacco,99.5,0,200,7.6,30.8,100,1.4,34.1
"Bahrain, Kingdom of                     ","Cotton, silk and wool",35,0,35,5,0,5,0.1,0
"Bahrain, Kingdom of                     ",Other agricultural products,35,0,35,4.3,13.9,5,0.7,15.8
"Bahrain, Kingdom of                     ",Fish and fish products,35,0,35,3.6,28.2,5,0.4,56.2
"Bahrain, Kingdom of                     ",Minerals and metals,34.9,0.3,35,4.9,2.4,5,30.4,8.9
"Bahrain, Kingdom of                     ",Petroleum,35,0,35,5,0,5,0.4,0
"Bahrain, Kingdom of                     ",Chemicals,34.8,0.6,35,4.6,11.5,100,18.7,15.4
"Bahrain, Kingdom of                     ","Wood, paper, furniture",37.1,0,100,4.8,4.4,5,2.8,5.7
"Bahrain, Kingdom of                     ",Textiles,35,0,35,5,0,5,1.0,0
"Bahrain, Kingdom of                     ",Clothing,35,0,35,5,0,5,1.8,0
"Bahrain, Kingdom of                     ","Rubber, leather and footwear",35,0,35,5,0,5,1.5,0
"Bahrain, Kingdom of                     ","Mechanical, office and computing machinery",33,5.6,35,4.5,10.3,5,11.2,17.8
"Bahrain, Kingdom of                     ",Electrical machinery and electronic equipment,28.1,19.8,35,3.7,25.4,5,7.2,43.8
"Bahrain, Kingdom of                     ",Transport equipment,35,0,35,4.2,16.6,5,7.0,2.2
"Bahrain, Kingdom of                     ",Other Manufactures,33.3,4.9,35,4.7,6.8,5,3.4,11.5
Burundi                                 ,Live animals and meat,100,0,100,30.4,7.7,35,0.7,8.8
Burundi                                 ,Dairy products,34,66.0,100,47.2,0,60,0.1,0
Burundi                                 ,Fruits and vegetables,100,0,100,30.8,0,35,0.4,0
Burundi                                 ,"Coffee, tea, cocoa and spices",99.1,0.9,100,27.6,7.4,35,0.1,0.1
Burundi                                 ,Cereals and food preparations,95.5,4.5,100,24.8,12.1,75,6.4,2.1
Burundi                                 ,"Oilseeds, fats and oils",99.3,0,100,17.3,16.4,35,0.7,21.6
Burundi                                 ,Sugars and confectionery,83.8,5.9,100,35.5,6.9,100,2.5,54.8
Burundi                                 ,Beverages and tobacco,78.7,0,100,35,0,35,2.2,0
Burundi                                 ,"Cotton, silk and wool",100,0,100,0,100.0,0,0.1,100.0
Burundi                                 ,Other agricultural products,97.7,0,100,10.5,37.6,35,0.3,61.5
Burundi                                 ,Fish and fish products,19.2,66.7,100,33.5,0.3,35,0.3,0
