Year,Product_Type,Category,Import_Volume_Billion_USD
2019,Non-agricultural Products,0 <= 5% Tariff,532.1
2019,Non-agricultural Products,5 <= 10% Tariff,321.9
2019,Non-agricultural Products,10 <= 15% Tariff,88.6
2019,Non-agricultural Products,15 <= 25% Tariff,35.2
2019,Non-agricultural Products,25 <= 50% Tariff,7.5
2019,Non-agricultural Products,50 <= 100% Tariff,0.0
2019,Non-agricultural Products,> 100 % Tariff,0.0
2019,Non-agricultural Products,Non-Ad Valorem Duties,62.3
2020,Agricultural Products,Duty-free (No Tariff),51.2
2020,Agricultural Products,0 <= 5% Tariff,39.8
2020,Agricultural Products,5 <= 10% Tariff,16.2
2020,Agricultural Products,10 <= 15% Tariff,9.7
2020,Agricultural Products,15 <= 25% Tariff,6.2
2020,Agricultural Products,25 <= 50% Tariff,3.1
2020,Agricultural Products,50 <= 100% Tariff,0.8
2020,Agricultural Products,> 100 % Tariff,0.3
2020,Agricultural Products,Non-Ad Valorem Duties,19.8
2020,Non-agricultural Products,Duty-free (No Tariff),962.3
2020,Non-agricultural Products,0 <= 5% Tariff,498.5
2020,Non-agricultural Products,5 <= 10% Tariff,289.6
2020,Non-agricultural Products,10 <= 15% Tariff,77.2
2020,Non-agricultural Products,15 <= 25% Tariff,30.8
2020,Non-agricultural Products,25 <= 50% Tariff,6.4
2020,Non-agricultural Products,50 <= 100% Tariff,0.0
2020,Non-agricultural Products,> 100 % Tariff,0.0
2020,Non-agricultural Products,Non-Ad Valorem Duties,57.9
2021,Agricultural Products,Duty-free (No Tariff),55.8
2021,Agricultural Products,0 <= 5% Tariff,42.7
2021,Agricultural Products,5 <= 10% Tariff,17.9
2021,Agricultural Products,10 <= 15% Tariff,10.8
2021,Agricultural Products,15 <= 25% Tariff,6.7
2021,Agricultural Products,25 <= 50% Tariff,3.3
2021,Agricultural Products,50 <= 100% Tariff,0.9
2021,Agricultural Products,> 100 % Tariff,0.4
2021,Agricultural Products,Non-Ad Valorem Duties,22.3
2021,Non-agricultural Products,Duty-free (No Tariff),1125.6
2021,Non-agricultural Products,0 <= 5% Tariff,582.4
2021,Non-agricultural Products,5 <= 10% Tariff,352.7
2021,Non-agricultural Products,10 <= 15% Tariff,96.8
2021,Non-agricultural Products,15 <= 25% Tariff,37.5
2021,Non-agricultural Products,25 <= 50% Tariff,7.9
2021,Non-agricultural Products,50 <= 100% Tariff,0.0
2021,Non-agricultural Products,> 100 % Tariff,0.0
2021,Non-agricultural Products,Non-Ad Valorem Duties,67.2
2022,Agricultural Products,Duty-free (No Tariff),58.2
2022,Agricultural Products,0 <= 5% Tariff,44.3
2022,Agricultural Products,5 <= 10% Tariff,18.5
2022,Agricultural Products,10 <= 15% Tariff,11.2
2022,Agricultural Products,15 <= 25% Tariff,6.9
2022,Agricultural Products,25 <= 50% Tariff,3.4
2022,Agricultural Products,50 <= 100% Tariff,0.95
2022,Agricultural Products,> 100 % Tariff,0.45
2022,Agricultural Products,Non-Ad Valorem Duties,23.1
2022,Non-agricultural Products,Duty-free (No Tariff),1183.2
2022,Non-agricultural Products,0 <= 5% Tariff,612.8
2022,Non-agricultural Products,5 <= 10% Tariff,371.4
2022,Non-agricultural Products,10 <= 15% Tariff,102.5
2022,Non-agricultural Products,15 <= 25% Tariff,39.8
2022,Non-agricultural Products,25 <= 50% Tariff,8.5
2022,Non-agricultural Products,50 <= 100% Tariff,0.0
2022,Non-agricultural Products,> 100 % Tariff,0.0
2022,Non-agricultural Products,Non-Ad Valorem Duties,71.3
2023,Agricultural Products,Duty-free (No Tariff),59.7
2023,Agricultural Products,0 <= 5% Tariff,45.1
2023,Agricultural Products,5 <= 10% Tariff,18.9
2023,Agricultural Products,10 <= 15% Tariff,11.5
2023,Agricultural Products,15 <= 25% Tariff,7.1
2023,Agricultural Products,25 <= 50% Tariff,3.5
2023,Agricultural Products,50 <= 100% Tariff,0.98
2023,Agricultural Products,> 100 % Tariff,0.48
2023,Agricultural Products,Non-Ad Valorem Duties,23.8
2023,Non-agricultural Products,Duty-free (No Tariff),1167.5
2023,Non-agricultural Products,0 <= 5% Tariff,598.3
2023,Non-agricultural Products,5 <= 10% Tariff,357.8
2023,Non-agricultural Products,10 <= 15% Tariff,98.2
2023,Non-agricultural Products,15 <= 25% Tariff,37.4
2023,Non-agricultural Products,25 <= 50% Tariff,7.9
2023,Non-agricultural Products,50 <= 100% Tariff,0.0
2023,Non-agricultural Products,> 100 % Tariff,0.0
2023,Non-agricultural Products,Non-Ad Valorem Duties,68.7
2024,Agricultural Products,Duty-free (No Tariff),61.2
2024,Agricultural Products,0 <= 5% Tariff,46.3
2024,Agricultural Products,5 <= 10% Tariff,19.5
2024,Agricultural Products,10 <= 15% Tariff,11.8
2024,Agricultural Products,15 <= 25% Tariff,7.3
2024,Agricultural Products,25 <= 50% Tariff,3.6
2024,Agricultural Products,50 <= 100% Tariff,1.0
2024,Agricultural Products,> 100 % Tariff,0.5
2024,Agricultural Products,Non-Ad Valorem Duties,24.5
2024,Non-agricultural Products,Duty-free (No Tariff),1198.6
2024,Non-agricultural Products,0 <= 5% Tariff,617.5
2024,Non-agricultural Products,5 <= 10% Tariff,369.2
2024,Non-agricultural Products,10 <= 15% Tariff,101.7
2024,Non-agricultural Products,15 <= 25% Tariff,38.6
2024,Non-agricultural Products,25 <= 50% Tariff,8.2
2024,Non-agricultural Products,50 <= 100% Tariff,0.0
2024,Non-agricultural Products,> 100 % Tariff,0.0
2024,Non-agricultural Products,Non-Ad Valorem Duties,70.9 
