Country,Year,Category,Rate imposed by the US,Rate imposed on the US
China,2023,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
China,2022,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
China,2021,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
China,2020,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
China,2019,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
China,2018,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
China,2017,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
China,2016,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
China,2015,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2024,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2023,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2022,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2021,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2020,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2019,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2018,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2017,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0.8
European Union,2016,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0.9
European Union,2015,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,1.8
Japan,2024,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,3,17.3
Japan,2023,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,3.2,18
Japan,2022,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,4.5,16.8
Japan,2021,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,4.5,17.5
Japan,2020,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,4.9,15.7
Japan,2019,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,4.9,15.6
Japan,2018,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,5.5,22.7
Japan,2017,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,5.6,23.5
Japan,2016,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,5.2,25.1
Japan,2015,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,6.2,37.3
Mexico,2024,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0.1,3.9
Mexico,2023,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0.1,3.4
Mexico,2022,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,3.7
Mexico,2021,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
Mexico,2020,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
Mexico,2019,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
Mexico,2018,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
Mexico,2017,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
Mexico,2016,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
Mexico,2015,Agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
Canada,2024,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.1,2
Canada,2023,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.1,2
Canada,2022,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.3,2
Canada,2021,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.4,2
Canada,2020,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.5,2.6
Canada,2019,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.3,2.2
Canada,2018,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.5,2.3
Canada,2017,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.3,2.1
Canada,2016,Non-agricultural MFN Trade-Weighted Average Tariff Rate,0.8,1.9
Canada,2015,Non-agricultural MFN Trade-Weighted Average Tariff Rate,0.8,2.2
China,2024,Non-agricultural MFN Trade-Weighted Average Tariff Rate,2.6,4.1
China,2023,Non-agricultural MFN Trade-Weighted Average Tariff Rate,2.5,4.1
China,2022,Non-agricultural MFN Trade-Weighted Average Tariff Rate,2.5,3.5
China,2021,Non-agricultural MFN Trade-Weighted Average Tariff Rate,2.9,4.3
China,2020,Non-agricultural MFN Trade-Weighted Average Tariff Rate,2.7,2.1
China,2019,Non-agricultural MFN Trade-Weighted Average Tariff Rate,2.6,5.9
China,2018,Non-agricultural MFN Trade-Weighted Average Tariff Rate,2.9,6.5
China,2017,Non-agricultural MFN Trade-Weighted Average Tariff Rate,3,5.3
China,2016,Non-agricultural MFN Trade-Weighted Average Tariff Rate,2.8,5.6
China,2015,Non-agricultural MFN Trade-Weighted Average Tariff Rate,2.9,5
European Union,2024,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.4,0.9
European Union,2023,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.4,1.3
European Union,2022,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.4,1.5
European Union,2021,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.4,1.3
European Union,2020,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.5,1.3
European Union,2019,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.3,1.4
European Union,2018,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.6,1.4
European Union,2017,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.6,1.4
European Union,2016,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.1,1.3
European Union,2015,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.1,1.5
Japan,2023,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.6,0.4
Japan,2022,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.6,0.5
Japan,2021,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.7,0.5
Japan,2020,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.7,0.5
Japan,2019,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.5,0.6
Japan,2018,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.8,0.6
Japan,2017,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.8,0.6
Japan,2016,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.2,0.6
Japan,2015,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.2,0.7
Mexico,2024,Non-agricultural MFN Trade-Weighted Average Tariff Rate,3.3,3
Mexico,2023,Non-agricultural MFN Trade-Weighted Average Tariff Rate,3.7,2.9
Mexico,2022,Non-agricultural MFN Trade-Weighted Average Tariff Rate,3.6,2.5
Mexico,2021,Non-agricultural MFN Trade-Weighted Average Tariff Rate,3.7,3.1
Mexico,2020,Non-agricultural MFN Trade-Weighted Average Tariff Rate,3.5,5.3
Mexico,2019,Non-agricultural MFN Trade-Weighted Average Tariff Rate,3.6,2.9
Mexico,2018,Non-agricultural MFN Trade-Weighted Average Tariff Rate,3.8,2.9
Mexico,2017,Non-agricultural MFN Trade-Weighted Average Tariff Rate,3.6,3.1
Mexico,2016,Non-agricultural MFN Trade-Weighted Average Tariff Rate,2.1,2.9
Mexico,2015,Non-agricultural MFN Trade-Weighted Average Tariff Rate,1.9,7.7
Canada,2024,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,1.1,1.9
Canada,2023,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,1.1,2
Canada,2022,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,1.3,2
Canada,2021,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,1.4,2
Canada,2020,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,1.5,2.5
Canada,2019,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,1.3,2.2
Canada,2018,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,1.5,2.3
Canada,2017,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,1.3,2.1
Canada,2016,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0.8,1.9
Canada,2015,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0.8,2.2
China,2024,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
China,2023,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
China,2022,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
China,2021,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
China,2020,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,2.1
China,2019,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
China,2018,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
China,2017,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
China,2016,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
China,2015,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2024,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2023,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2022,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2021,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2020,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2019,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2018,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2017,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2016,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
European Union,2015,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
Japan,2023,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0.2,0
Japan,2022,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0.1,0
Japan,2021,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
Japan,2020,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
Japan,2019,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
Japan,2018,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
Japan,2017,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
Japan,2016,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
Japan,2015,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,0,0
Mexico,2024,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,3.3,3
Mexico,2023,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,3.7,2.9
Mexico,2022,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,3.6,2.5
Mexico,2021,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,3.7,3
Mexico,2020,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,3.5,0
Mexico,2019,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,3.3,2.9
Mexico,2018,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,3.8,2.9
Mexico,2017,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,3.6,3.1
Mexico,2016,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,2.1,2.9
Mexico,2015,Non-agricultural Pref. Margin Trade-Weighted Average Tariff Rate,1.9,7.5
